index,unused_border,ellipse_similar_center_dist,ellipse_similar_axis_dist,ellipse_similar_angle_dist,ellipse_max_iter,ellipse_line_fitting_area,canny_quantile_2,canny_quantile_1,blur_k_size,num_data,duration_mean,hd_mean,hd_std,dice_mean,dice_std,diff_mean,diff_std,adiff_mean,adiff_std
12,5,20,10,0.17453292519943295,5000,7,0.95,0.9,11,998,0.2668792660320588,4.367129154327438,4.1851376929588495,0.917793516322209,0.11418866825203192,-0.12546969149999584,15.96345745781109,13.807234683472844,13.807234683472844
15,5,20,10,0.3490658503988659,10000,7,0.95,0.9,11,998,0.40843260701407935,3.8780984451154206,4.173813193888628,0.9289506681467165,0.0977568753338678,1.0792314237586926,14.219400298067493,12.28074783446406,12.28074783446406
6,5,20,10,0.17453292519943295,10000,7,0.95,0.8,11,998,0.533108047895574,4.402015278509104,4.702031719255821,0.9202223125023775,0.11026130028784868,-0.9843003777987798,19.128358990001658,17.274838573641805,17.274838573641805
0,5,20,10,0.17453292519943295,5000,7,0.9,0.8,11,998,0.43530691342679356,5.514476149550122,5.862008666686179,0.9037442639710497,0.1197857875289032,-1.772522074201666,23.29501358119306,21.133967967720444,21.133967967720444
4,5,20,10,0.17453292519943295,5000,7,0.95,0.8,11,998,0.3291579117232799,4.817542231415969,4.781759760243447,0.914870549537909,0.10628095115199603,-0.8440150167512989,17.29005758365845,15.010814376847916,15.010814376847916
8,5,20,10,0.17453292519943295,5000,7,0.9,0.9,11,998,0.3102402602203885,4.767929798627691,5.414898189165587,0.9146949838553722,0.11644236604220802,-0.9698478180142384,16.32894512812281,14.137954506236232,14.137954506236232
7,5,20,10,0.3490658503988659,10000,7,0.95,0.8,11,998,0.6483284413827609,4.069754487359835,3.791462366122801,0.9268972603238115,0.09672071407272781,0.3955459208687506,14.898166738935602,12.90075836992914,12.90075836992914
13,5,20,10,0.3490658503988659,5000,7,0.95,0.9,11,998,0.3671311391783479,4.097858021088467,3.958882077868101,0.922944022234455,0.10619963564101592,0.7574406127319078,15.169924819354616,13.04967618716846,13.04967618716846
11,5,20,10,0.3490658503988659,10000,7,0.9,0.9,11,998,0.5835016384769328,4.194598785458206,4.758296837580746,0.9240264790517476,0.10413074535187977,0.12133228612231467,15.495055034244626,13.35906922197646,13.35906922197646
3,5,20,10,0.3490658503988659,10000,7,0.9,0.8,11,998,0.6219992650302317,4.448890924615113,4.593041551443545,0.919166205094502,0.1113639884216501,-0.30722953658185037,15.802864092676836,13.595851136464418,13.595851136464418
2,5,20,10,0.17453292519943295,10000,7,0.9,0.8,11,998,0.6564559855711607,4.755994161775078,5.065351441576235,0.914929907511167,0.11073370319949939,-0.9352715733293551,16.91416036253701,14.754402711308794,14.754402711308794
9,5,20,10,0.3490658503988659,5000,7,0.9,0.9,11,998,0.27602539358722167,4.351605578749417,3.9411538544612887,0.9193615369652978,0.1089084949148547,0.376061022958467,14.57174317748539,12.242691649055523,12.242691649055523
1,5,20,10,0.3490658503988659,5000,7,0.9,0.8,11,998,0.3184268717434283,4.981457929846483,5.0812524577604785,0.9111655790885679,0.1113552970806835,-0.6674744293070977,18.30443503606349,15.85580601274968,15.85580601274968
5,5,20,10,0.3490658503988659,5000,7,0.95,0.8,11,998,0.2951054244490251,4.348786562996919,3.723701797810272,0.9219591926594587,0.09704061738915078,0.01343710427076166,15.264114652770504,12.988611393044792,12.988611393044792
14,5,20,10,0.17453292519943295,10000,7,0.95,0.9,11,998,0.49942872635268964,4.056371291362005,4.371142964115138,0.9259505272521511,0.10137956711753349,-0.125157619242722,15.23390901652126,13.38116049300195,13.38116049300195
10,5,20,10,0.17453292519943295,10000,7,0.9,0.9,11,998,0.5315048109218833,4.256066327323282,4.674405005990763,0.9218040054060415,0.10655615692010327,-0.5355841489114168,15.293628387266121,13.279671299095249,13.279671299095249
0,5,20,10,0.3490658503988659,10000,7,0.95,0.9,11,998,0.4520363864728729,3.8780984451154206,4.173813193888628,0.9289506681467165,0.0977568753338678,1.0792314237586926,14.219400298067493,7.244849232143372,12.28074783446406
